Rank,Player,Position,School,PFF Grade,Analysis
1,Fernando Mendoza,QB,Indiana,91.6,
2,Rueben Bain Jr.,ED,Miami (FL),92.8,
3,Arvell Reese,LB,Ohio State,76.4,
4,David Bailey,ED,Texas Tech,93.3,
5,Caleb Downs,S,Ohio State,87.6,
6,Jeremiyah Love,HB,Notre Dame,93.1,
7,Jordyn Tyson,WR,Arizona State,82.9,
8,Carnell Tate,WR,Ohio State,88.6,
9,Sonny Styles,LB,Ohio State,88.5,
10,Makai Lemon,WR,USC,90.8,
11,Jermod McCoy,CB,Tennessee,,
12,Francis Mauigoa,T,Miami (FL),82.6,
13,Mansoor Delane,CB,LSU,90.5,
14,Peter Woods,DI,Clemson,72.2,
15,Cashius Howell,ED,Texas A&M,81.2,
16,Keldric Faulk,ED,Auburn,75.8,
17,Caleb Banks,DI,Florida,68.8,
18,Spencer Fano,T,Utah,84.0,
19,Avieon Terrell,CB,Clemson,83.5,
20,Denzel Boston,WR,Washington,88.0,
21,Kayden McDonald,DI,Ohio State,86.5,
22,Olaivavega Ioane,G,Penn State,80.0,
23,T.J. Parker,ED,Clemson,80.7,
24,Kenyon Sadiq,TE,Oregon,70.4,
25,Kadyn Proctor,T,Alabama,86.1,
26,KC Concepcion,WR,Texas A&M,78.4,
27,Caleb Lomu,T,Utah,68.4,
28,CJ Allen,LB,Georgia,76.0,
29,Christen Miller,DI,Georgia,84.5,
30,Monroe Freeling,T,Georgia,72.1,
31,Brandon Cisse,CB,South Carolina,75.2,
32,Akheem Mesidor,ED,Miami (FL),92.5,
33,Ty Simpson,QB,Alabama,83.1,
34,Emmanuel McNeil-Warren,S,Toledo,91.9,
35,Keith Abney II,CB,Arizona State,86.3,
36,Chris Bell,WR,Louisville,81.8,
37,R Mason Thomas,ED,Oklahoma,85.3,
38,Dillon Thieneman,S,Oregon,91.0,
39,Anthony Hill Jr.,LB,Texas,72.8,
40,Gabe Jacas,ED,Illinois,78.3,
41,Germie Bernard,WR,Alabama,71.9,
42,A.J. Haulcy,S,LSU,86.6,
43,Emmanuel Pregnon,G,Oregon,86.7,
44,Eli Stowers,TE,Vanderbilt,81.6,
45,Zion Young,ED,Missouri,85.0,
46,Deontae Lawson,LB,Alabama,77.6,
47,Colton Hood,CB,Tennessee,79.2,
48,LT Overton,ED,Alabama,64.2,
49,Lee Hunter,DI,Texas Tech,80.9,
50,Keionte Scott,CB,Miami (FL),89.6,
51,Romello Height,ED,Texas Tech,92.5,
52,D'Angelo Ponds,CB,Indiana,89.9,
53,Caleb Tiernan,T,Northwestern,70.5,
54,Dontay Corleone,DI,Cincinnati,72.6,
55,Chris Johnson,CB,San Diego State,91.6,
56,Jake Golday,LB,Cincinnati,82.4,
57,Omar Cooper Jr.,WR,Indiana,87.4,
58,Derrick Moore,ED,Michigan,89.9,
59,Jadarian Price,HB,Notre Dame,78.6,
60,Josiah Trotter,LB,Missouri,73.0,
61,Joshua Josephs,ED,Tennessee,87.1,
62,Kamari Ramsey,S,USC,72.6,
63,Max Iheanachor,T,Arizona State,72.5,
64,Connor Lew,C,Auburn,67.6,
65,Domonique Orange,DI,Iowa State,68.3,
66,Elijah Sarratt,WR,Indiana,86.1,
67,Trinidad Chambliss,QB,Mississippi,87.8,
68,Chandler Rivers,CB,Duke,79.2,
69,Anthony Lucas,ED,USC,71.4,
70,Max Klare,TE,Ohio State,69.3,
71,Jack Endries,TE,Texas,68.5,
72,Daylen Everette,CB,Georgia,69.7,
73,CJ Daniels,WR,Miami (FL),73.3,
74,Michael Trigg,TE,Baylor,72.4,
75,Chris Brazzell II,WR,Tennessee,79.4,
76,Jake Slaughter,C,Florida,79.3,
77,Blake Miller,T,Clemson,78.5,
78,Jonah Coleman,HB,Washington,82.1,
79,Skyler Bell,WR,Connecticut,81.6,
80,Taurean York,LB,Texas A&M,83.7,
81,Garrett Nussmeier,QB,LSU,77.1,
82,Emmett Johnson,HB,Nebraska,85.6,
83,Gennings Dunker,T,Iowa,82.0,
84,Zachariah Branch,WR,Georgia,82.0,
85,Darrell Jackson Jr.,DI,Florida State,74.4,
86,Justin Joly,TE,North Carolina State,77.9,
87,Deion Burks,WR,Oklahoma,64.1,
88,Chase Bisontis,G,Texas A&M,62.4,
89,Dani Dennis-Sutton,ED,Penn State,80.1,
90,Jacob Rodriguez,LB,Texas Tech,93.0,
91,Carson Beck,QB,Miami (FL),73.6,
92,Zakee Wheatley,S,Penn State,85.9,
93,Sam Hecht,C,Kansas State,80.0,
94,Antonio Williams,WR,Clemson,80.3,
95,Seth McGowan,HB,Kentucky,70.1,
96,Mikail Kamara,ED,Indiana,71.9,
97,Malachi Fields,WR,Notre Dame,75.8,
98,Tyreak Sapp,ED,Florida,65.0,
99,Brian Parker II,T,Duke,85.5,
100,Jaishawn Barham,ED,Michigan,79.3,
101,Sam Roush,TE,Stanford,57.2,
102,Will Lee III,CB,Texas A&M,66.5,
103,Xavier Scott,CB,Illinois,68.3,
104,Genesis Smith,S,Arizona,81.1,
105,Malik Muhammad,CB,Texas,70.8,
106,Skyler Gill-Howard,DI,Texas Tech,88.6,
107,De'Zhaun Stribling,WR,Mississippi,79.2,
108,Marlin Klein,TE,Michigan,64.4,
109,Bud Clark,S,TCU,80.4,
110,Nicholas Singleton,HB,Penn State,77.6,
111,J.C. Davis,T,Illinois,87.8,
112,Austin Barber,T,Florida,83.5,
113,Josh Cuevas,TE,Alabama,69.6,
114,Isaiah World,T,Oregon,65.4,
115,Gracen Halton,DI,Oklahoma,84.7,
116,Kaytron Allen,HB,Penn State,89.5,
117,Joe Royer,TE,Cincinnati,59.8,
118,Albert Regis,DI,Texas A&M,72.8,
119,Cade Klubnik,QB,Clemson,76.5,
120,Michael Taaffe,S,Texas,88.1,
121,Drew Allar,QB,Penn State,72.4,
122,Eli Raridon,TE,Notre Dame,67.5,
123,Demond Claiborne,HB,Wake Forest,68.6,
124,Julian Neal,CB,Arkansas,79.5,
125,DJ Campbell,G,Texas,70.9,
126,Thaddeus Dixon,CB,North Carolina,65.2,
127,Eric McAlister,WR,TCU,76.1,
128,Jude Bowry,T,Boston College,66.0,
129,Beau Stephens,G,Iowa,85.1,
130,Aiden Fisher,LB,Indiana,68.1,
131,Eric Rivers,WR,Georgia Tech,72.7,
132,Tim Keenan III,DI,Alabama,70.8,
133,Keylan Rutledge,G,Georgia Tech,76.7,
134,Jalen Stroman,S,Notre Dame,79.8,
135,Jalon Kilgore,CB,South Carolina,69.7,
136,Ja'Kobi Lane,WR,USC,77.6,
137,Jager Burton,C,Kentucky,71.3,
138,Aamil Wagner,T,Notre Dame,68.7,
139,Trey Moore,LB,Texas,66.0,
140,Bryce Lance,WR,North Dakota State,89.3,
141,Mike Washington Jr.,HB,Arkansas,78.3,
142,Hezekiah Masses,CB,California,79.5,
143,Drew Shelton,T,Penn State,70.6,
144,David Oke,DI,Arkansas,69.6,
145,J'Mari Taylor,HB,Virginia,76.1,
146,Ar'maj Reed-Adams,G,Texas A&M,69.1,
147,Aaron Anderson,WR,LSU,72.8,
148,Harold Perkins Jr.,LB,LSU,62.3,
149,Pat Coogan,C,Indiana,78.0,
150,Ted Hurst,WR,Georgia State,82.0,
151,Miles Kitselman,TE,Tennessee,64.3,
152,Kobe Baynes,G,Kansas,74.3,
153,Davison Igbinosun,CB,Ohio State,81.5,
154,Malachi Lawrence,ED,UCF,80.1,
155,Le'Veon Moss,HB,Texas A&M,75.8,
156,Jaeden Roberts,G,Alabama,69.5,
157,Tyren Montgomery,WR,Unknown Team,,
158,Nadame Tucker,ED,Western Michigan,91.4,
159,Tanner Koziol,TE,Houston,78.9,
160,Tacario Davis,CB,Washington,67.2,
161,Kyle Louis,LB,Pittsburgh,73.1,
162,Dae'Quan Wright,TE,Mississippi,66.0,
163,Quintayvious Hutchins,ED,Boston College,68.7,
164,Cyrus Allen,WR,Cincinnati,72.6,
165,Chase Roberts,WR,BYU,74.5,
166,Bishop Fitzgerald,S,USC,90.7,
167,Cole Brevard,DI,Texas,72.5,
168,John Michael Gyllenborg,TE,Wyoming,54.0,
169,Trey Zuhn III,T,Texas A&M,72.7,
170,Jaydn Ott,HB,Oklahoma,53.1,
171,Earnest Greene III,T,Georgia,63.2,
172,George Gumbs Jr.,ED,Florida,66.5,
173,DeMonte Capehart,DI,Clemson,71.2,
174,Zavion Thomas,WR,LSU,66.2,
175,Oscar Delp,TE,Georgia,63.0,
176,Logan Jones,C,Iowa,79.0,
177,Jalon Daniels,QB,Kansas,77.1,
178,Devon Marshall,CB,North Carolina State,89.8,
179,Desmond Reid,HB,Pittsburgh,80.1,
180,Jeff Caldwell,WR,Cincinnati,70.0,
181,Isaiah Nwokobia,S,SMU,68.1,
182,Max Llewellyn,ED,Iowa,72.3,
183,Nate Boerkircher,TE,Texas A&M,74.3,
184,Brenen Thompson,WR,Mississippi State,79.0,
185,Zxavian Harris,DI,Mississippi,73.3,
186,Robert Spears-Jennings,S,Oklahoma,58.9,
187,Jadon Canady,CB,Oregon,85.5,
188,Kevin Coleman Jr.,WR,Missouri,78.5,
189,Kaleb Proctor,DI,Southeastern Louisiana,87.4,
190,Kage Casey,T,Boise State,80.0,
191,Dane Key,WR,Nebraska,65.9,
192,Parker Brailsford,C,Alabama,65.6,
193,Nolan Rucci,T,Penn State,75.4,
194,Jermaine Mathews Jr.,CB,Ohio State,62.1,
195,Dallen Bentley,TE,Utah,76.9,
196,Domani Jackson,CB,Alabama,73.4,
197,Robert Henry Jr.,HB,UTSA,74.2,
198,Caleb Douglas,WR,Texas Tech,67.0,
199,TJ Guy,ED,Michigan,64.3,
200,Roman Hemby,HB,Indiana,80.9,
201,Noah Thomas,WR,Georgia,57.9,
202,Cole Wisniewski,S,Texas Tech,83.7,
203,J. Michael Sturdivant,WR,Florida,62.7,
204,Owen Heinecke,LB,Oklahoma,76.1,
205,Terion Stewart,HB,Virginia Tech,73.9,
206,DJ Harvey,CB,USC,55.3,
207,Vincent Anthony Jr.,ED,Duke,58.2,
208,Lake McRee,TE,USC,68.8,
209,Bryce Boettcher,LB,Oregon,77.3,
210,DeVonta Smith,CB,Notre Dame,72.4,
211,Dametrious Crownover,T,Texas A&M,65.2,
212,Ephesians Prysock,CB,Washington,76.8,
213,Rahsul Faison,HB,South Carolina,68.8,
214,Josh Cameron,WR,Baylor,72.4,
215,Ceyair Wright,CB,Nebraska,66.6,
216,Reggie Virgil,WR,Texas Tech,68.5,
217,Zane Durant,DI,Penn State,63.9,
218,James Thompson Jr.,DI,Illinois,76.5,
219,Fa'alili Fa'amoe,T,Wake Forest,67.7,
220,Luke Altmyer,QB,Illinois,78.0,
221,Vinny Anthony II,WR,Wisconsin,67.7,
222,Deven Eastern,DI,Minnesota,67.3,
223,Eli Heidenreich,FB,Navy,92.9,
224,Sawyer Robertson,QB,Baylor,70.3,
225,Rayshaun Benny,DI,Michigan,78.2,
226,Lewis Bond,WR,Boston College,74.0,
227,Taylen Green,QB,Arkansas,83.0,
228,Kaelon Black,HB,Indiana,83.7,
229,Ethan Onianwa,G,Ohio State,58.2,
230,TJ Hall,CB,Iowa,79.5,
231,Cole Payton,QB,North Dakota State,95.9,
232,Jeadyn Lukus,CB,Clemson,56.1,
233,Xavian Sorey Jr.,LB,Arkansas,50.3,
234,Tommy Castellanos,QB,Florida State,85.6,
235,Josh Moten,CB,Southern Miss,80.1,
236,Joshua Braun,G,Kentucky,62.5,
237,Patrick Payton,ED,LSU,69.0,
238,Jalen Catalon,S,Missouri,74.0,
239,Miller Moss,QB,Louisville,68.2,
240,Diego Pavia,QB,Vanderbilt,92.2,
241,Elijah Pritchett,T,Nebraska,68.5,
242,Seydou Traore,TE,Mississippi State,60.1,
243,Raion Strader,CB,Pittsburgh,62.7,
244,Tyreek Chappell,CB,Texas A&M,63.2,
245,Eric O'Neill,ED,Rutgers,74.4,
246,Logan Fano,ED,Utah,78.7,
247,Riley Nowakowski,TE,Indiana,79.4,
248,Trebor Pena,WR,Penn State,75.0,
249,Micah Morris,G,Georgia,72.0,
250,Lander Barton,LB,Utah,61.6,
251,Peyton Bowen,S,Oklahoma,78.2,
252,Jake Retzlaff,QB,Tulane,81.6,
253,Connor Tollison,C,Missouri,62.7,
254,Dillon Bell,WR,Georgia,57.7,
255,Chip Trayanum,HB,Toledo,76.7,
256,Jerry Wilson,CB,Florida State,70.9,
257,Jaren Kanak,TE,Oklahoma,64.1,
258,Mason Reiger,ED,Wisconsin,82.3,
259,Jamal Haynes,HB,Georgia Tech,66.1,
260,Joe Fagnano,QB,Connecticut,87.0,
261,Keyshawn James-Newby,ED,New Mexico,89.0,
262,Kyron Drones,QB,Virginia Tech,69.9,
263,Athan Kaliakmanis,QB,Rutgers,88.8,
264,VJ Payne,S,Kansas State,73.3,
265,Jam Miller,HB,Alabama,66.2,
266,Tomas Rimac,G,Virginia Tech,59.3,
267,Riley Mahlman,T,Wisconsin,62.9,
268,Daniel Harris,CB,California,57.1,
269,RJ Maryland,TE,SMU,62.4,
270,Caden Barnett,G,Wyoming,71.3,
271,Keeshawn Silver,DI,USC,56.4,
272,Eric Gentry,LB,USC,71.3,
273,Carsen Ryan,TE,BYU,82.5,
274,Xavier Nwankpa,S,Iowa,71.0,
275,Bryce Foster,C,Kansas,69.0,
276,Ben Bell,ED,Virginia Tech,70.1,
277,Noah Whittington,HB,Oregon,83.6,
278,Davion Carter,G,Texas Tech,70.8,
279,Jack Velling,TE,Michigan State,63.0,
280,Brandon Cleveland,DI,North Carolina State,72.1,
281,Dean Connors,HB,Houston,76.6,
282,Luke Petitbon,C,Florida State,71.9,
283,Behren Morton,QB,Texas Tech,72.0,
284,Squirrel White,WR,Florida State,51.0,
285,Micah Pettus,T,Florida State,72.6,
286,Jeremiah Wright,G,Auburn,68.2,
287,Gary Smith III,DI,UCLA,75.4,
288,Hank Beatty,WR,Illinois,82.4,
289,Treydan Stukes,CB,Arizona,90.1,
290,Austin Brown,S,Wisconsin,51.3,
291,Mel Brown,HB,Colorado State,71.4,
292,Harrison Wallace III,WR,Mississippi,73.1,
293,Landon Robinson,DI,Navy,78.2,
294,Jeff Persi,T,Pittsburgh,46.4,
295,Fernando Carmona,G,Arkansas,71.2,
296,Cameron Ball,DI,Arkansas,70.6,
297,Adam Randall,HB,Clemson,72.5,
298,Scooby Williams,LB,Texas A&M,78.9,
299,Nikai Martinez,S,Michigan State,61.6,
300,CJ Donaldson,HB,Ohio State,73.2,
301,Jeremiah Franklin,TE,Boston College,65.4,
302,Diego Pounds,T,Mississippi,62.4,
303,Josh Thompson,G,LSU,64.2,
304,Jack Pyburn,ED,LSU,72.9,
305,Stephen Hall,CB,Missouri,51.9,
306,Jalen Huskey,S,Maryland,83.6,
307,Caullin Lacy,WR,Louisville,66.7,
308,Grayson James,QB,Boston College,60.6,
309,Logan Diggs,HB,Mississippi,70.1,
310,Jaden Dugger,LB,Louisiana,63.5,
311,Jaren Kump,C,Utah,66.3,
312,Jackie Marshall,ED,Baylor,55.7,
313,Tre Smith,ED,Arizona,79.0,
314,Mark Gronowski,QB,Iowa,83.3,
315,Walker Eget,QB,San Jose State,67.5,
316,Donavon Greene,WR,Virginia Tech,58.9,
317,Izavion Miller,G,Auburn,63.7,
318,Anthony Smith,WR,East Carolina,72.4,
319,Dillon Wade,G,Auburn,59.6,
320,Damonic Williams,DI,Oklahoma,56.1,
321,Keyron Crawford,ED,Auburn,76.3,
322,Wesley Bissainthe,LB,Miami (FL),64.7,
323,DaShawn Jones,CB,Alabama,64.1,
324,Ahmaad Moses,S,SMU,69.7,
325,Al-Jay Henderson,HB,Buffalo,66.8,
326,Chris Hilton Jr.,WR,LSU,51.6,
327,Bauer Sharp,TE,LSU,47.9,
328,Ryan Baer,T,Pittsburgh,76.8,
329,Mason Randolph,C,Boise State,70.1,
330,Dean Miller,ED,Kansas,70.3,
331,Jaylon Guilbeau,CB,Texas,65.4,
332,Gunner Maldonado,S,Kansas State,65.9,
333,Colbie Young,WR,Georgia,76.3,
334,Tanner Arkin,TE,Illinois,68.5,
335,Garrett DiGiorgio,G,UCLA,67.2,
336,Mark Petry,C,Syracuse,,
337,Mo Westmoreland,ED,Tulane,79.1,
338,Kendal Daniels,S,Oklahoma,77.4,
339,Amari Jackson,CB,Maryland,66.6,
340,DQ Smith,S,South Carolina,67.9,
341,Maverick McIvor,QB,Western Kentucky,73.2,
342,Devin Mockobee,HB,Purdue,73.7,
343,Avery Smith,CB,Toledo,70.6,
344,Devonte Ross,WR,Penn State,70.3,
345,Jimmori Robinson,ED,West Virginia,51.3,
346,Rohan Jones,TE,Arkansas,90.3,
347,Tristan Leigh,T,Clemson,49.5,
348,Daniel King,G,North Carolina,66.3,
349,Barion Brown,WR,LSU,68.5,
350,Chris McClellan,DI,Missouri,78.2,
351,Marvin Jones Jr.,ED,Oklahoma,58.2,
352,Marcus Allen,CB,North Carolina,64.1,
353,JJ Johnson,S,North Carolina State,56.4,
354,Roydell Williams,HB,Florida State,64.8,
355,Chris Adams,T,Memphis,67.4,
356,Weylin Lapuaho,G,BYU,62.6,
357,Aidan Hubbard,ED,Northwestern,74.5,
358,Kentrel Bullock,HB,South Alabama,90.3,
359,Devin Moore,CB,Florida,83.0,
360,Shyheim Brown,S,Florida State,56.6,
361,Anthony Hankerson,HB,Oregon State,73.7,
362,Jahmal Edrine,WR,Virginia,66.6,
363,Malik Rutherford,WR,Georgia Tech,77.7,
364,Matthew Hibner,TE,SMU,62.6,
365,Trevor Brock,T,Buffalo,74.6,
366,Da'Shawn Womack,ED,Auburn,68.6,
367,Kam Dewberry,G,Alabama,71.2,
368,Will Whitson,ED,Mississippi State,81.1,
369,Caden Curry,ED,Ohio State,90.6,
370,Wade Woodaz,LB,Clemson,70.0,
371,Phillip Dunnam,S,UCF,75.2,
372,Blake Shapen,QB,Mississippi State,68.4,
373,Angel Johnson,HB,Washington State,66.3,
374,Kobe Prentice,WR,Baylor,72.3,
375,Amari Niblack,TE,Texas A&M,54.6,
376,PJ Williams,T,SMU,80.0,
377,Anez Cooper,G,Miami (FL),68.8,
378,J'Onre Reed,C,USC,60.1,
379,Ethan Burke,ED,Texas,83.6,
380,Kaleb Elarms-Orr,LB,TCU,84.4,
381,Collin Wright,CB,Stanford,74.9,
382,Kendel Dolby,S,Mississippi State,64.2,
383,Charles Demmings,CB,Stephen F. Austin,79.6,
384,Davon Booth,HB,Mississippi State,76.3,
385,Jalen Walthall,WR,Incarnate Word,76.8,
386,Ethan Conner,TE,Troy,60.4,
387,Jay Green,S,Stanford,76.4,
388,Mason Murphy,T,Auburn,65.8,
389,Nick Dawkins,C,Penn State,70.3,
390,Jacobian Guillory II,DI,LSU,64.5,
391,Roy Williams,ED,Northern Illinois,65.0,
392,Jordan Mosley,WR,Mississippi State,49.9,
393,Toriano Pride Jr.,CB,Missouri,74.4,
394,Chase Mason,QB,South Dakota State,81.5,
395,Jaquez Moore,HB,Duke,71.6,
396,Miles Capers,ED,Vanderbilt,68.0,
397,Max Tomczak,WR,Youngstown State,85.0,
398,Chamon Metayer,TE,Arizona State,56.3,
399,Conner Moore,T,Michigan State,69.4,
400,Nyjalik Kelly,ED,UCF,75.9,
401,Keyshaun Elliott,LB,Arizona State,67.4,
402,Tyler Van Dyke,QB,SMU,,
403,Cash Jones,HB,Georgia,66.4,
404,Trey White,ED,Texas Tech,82.9,
405,Matt Lauter,TE,Boise State,49.6,
406,Hunter Zambrano,T,Texas Tech,62.8,
407,Corey Walker,ED,Wisconsin,69.4,
408,Jack Kelly,LB,BYU,68.7,
409,Ryan Mosesso,T,Massachusetts,54.2,
410,Kaidon Salter,QB,Colorado,64.4,
411,Jordan Pollard,LB,San Jose State,61.0,
412,Luke Hasz,TE,Mississippi,58.8,
413,Romello Brinson,WR,SMU,59.0,
414,Caleb Fauria,TE,Delaware,,
415,Logan Taylor,G,Boston College,70.0,
416,Desmond Purnell,LB,Kansas State,66.2,
417,Justin Jefferson,LB,Alabama,67.6,
418,Jayden Williams,S,UCF,66.1,
419,Ricardo Hallman,CB,Wisconsin,71.0,
420,Kam Olds,ED,Kentucky,71.1,
421,James Brockermeyer,C,Miami (FL),72.5,
422,Triston Newson,LB,Missouri,63.2,
423,Zach Calzada,QB,Kentucky,46.5,
424,Ja'Mori Maclin,WR,Kentucky,61.1,
425,Alex Harkey,T,Oregon,65.0,
426,Ka'ena Decambra,C,Arizona,67.9,
427,DT Sheffield,WR,Rutgers,61.8,
428,Namdi Obiazor,LB,TCU,71.5,
429,Will Ferrin,K,BYU,,
430,Drew Stevens,K,Iowa,,
431,Dominic Zvada,K,Michigan,,
432,Palmer Williams,P,Baylor,,
433,Brett Thorson,P,Georgia,,
434,Ryan Eckley,P,Michigan State,,
435,Jack Stonehouse,P,Syracuse,,